catalog_id,niche_id,niche_name,template_name,slug,page_type,conversion_objective,target_audience,primary_cta,section_sequence,required_controlled_nodes,required_future_nodes,required_editable_fields,visual_direction,thumbnail_strategy,structural_distinction_rationale,catalog_status
"TPL-402","17","SaaS e Startups de Software","SaaS Agendamento VIP","tpl-saas-agendamento-consulta-vip","Landing de Marcações","Agendamento Direct de Primeira Consulta","Clientes qualificados procurando atendimento exclusivo","Agendar Consulta VIP","hero -> services -> process -> testimonials -> contact -> footer","HeroBlock;ServicesBlock;ProcessBlock;TestimonialsBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,badge_text,services_cards,process_steps,testimonials_list,contact_info,copyright_text","Tom premium com cartões espaçados e etapas do processo ilustradas","Hero com destaque de especialidades e botão de agendamento em destaque","Apresenta a jornada de atendimento passo a passo para gerar confiança no agendamento.","pilot_eligible"
"TPL-403","17","SaaS e Startups de Software","SaaS Institucional Autoridade","tpl-saas-institucional-autoridade","Website Institucional","Construção de Autoridade de Marca e Apresentação de Equipa","Clientes corporativos e parceiros estratégicos","Conhecer Soluções da Empresa","hero -> about -> services -> team -> contact -> footer","HeroBlock;AboutBlock;ServicesBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,services_cards,team_members,contact_info,copyright_text","Design corporativo sóbrio com tipografia forte e fotos da equipa","Preview da secção de história e griha de membros da equipa","Posiciona o negócio como líder de mercado através da história e equipa médica/profissional.","pilot_eligible"
"TPL-404","17","SaaS e Startups de Software","SaaS Cotação Express","tpl-saas-cotacao-progressiva-express","Landing de Cotação","Solicitação de Orçamento com Dados Iniciais","Compradores buscando estimativa rápida de investimento","Pedir Orçamento Gratuito","hero -> benefits -> form -> faq -> footer","HeroBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,benefits_items,form_fields,submit_button_text,faq_items,copyright_text","Foco em clareza de benefícios antes de expor os campos de orçamento","Captura destacando cartões de diferenciais e formulário de orçamento","Elimina objeções de preço respondendo perguntas frequentes antes do pedido de cotação.","pilot_eligible"
"TPL-405","17","SaaS e Startups de Software","SaaS Catálogo de Especialidades","tpl-saas-procedimentos-especializados","Landing de Serviços","Apresentação Detalhada do Portfólio de Serviços","Público que procura soluções técnicas específicas","Consultar Especialista","hero -> services -> benefits -> process -> form -> footer","HeroBlock;ServicesBlock;BenefitsBlock;ProcessBlock;FormBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,process_steps,form_fields,copyright_text","Grelha modular de serviços com ícones e marcadores técnicos","Visão geral do catálogo de serviços em grelha 3 colunas","Organiza serviços complexos de forma modular e clara para facilidade de navegação.","pilot_eligible"
"TPL-406","17","SaaS e Startups de Software","SaaS Casos & Prova Social","tpl-saas-prova-social-intensa","Landing Page Direta","Conversão Baseada em Depoimentos e Prova de Confiança","Clientes indecisos que necessitam de validação de terceiros","Ver Resultados e Agendar","hero -> testimonials -> benefits -> faq -> contact -> footer","HeroBlock;TestimonialsBlock;BenefitsBlock;FaqBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,testimonials_list,benefits_items,faq_items,contact_info,copyright_text","Estilo visual focado em cartões de avaliações com estrelas e avatares","Secção Hero integrada com avaliações 5 estrelas em destaque","Utiliza o gatilho da prova social em posição de destaque máximo para quebrar desconfiança.","pilot_eligible"
"TPL-407","17","SaaS e Startups de Software","SaaS Diagnóstico Gratuito","tpl-saas-diagnostico-inicial-gratuito","Landing Page Direta","Captação de Leads via Oferta de Diagnóstico sem Custo","Clientes em fase de descoberta que procuram avaliação inicial","Solicitar Diagnóstico sem Custo","hero -> process -> benefits -> form -> footer","HeroBlock;ProcessBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,benefits_items,form_fields,copyright_text","Cores de alta energia e badges explicativos do diagnóstico","Hero com badge de Diagnóstico Gratuito e formulário em destaque","Reduz a barreira de entrada oferecendo uma avaliação sem compromisso financeiro.","pilot_eligible"
"TPL-408","17","SaaS e Startups de Software","SaaS Plantão & Atendimento Rápido","tpl-saas-atendimento-urgencia-24h","Landing Page Direta","Conversão Urgente para Casos Imediatos","Público com necessidade urgente ou atendimento emergencial","Falar com Atendimento Rápido","hero -> contact -> services -> faq -> footer","HeroBlock;ContactBlock;ServicesBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,phone,email,address,services_cards,faq_items,copyright_text","Layout de alta visibilidade com botão telefónico/WhatsApp de destaque imediato","Hero com botões de contacto direto e mapa de localização rápida","Focado em resolução imediata com telefone e mapa acessíveis sem rolagem.","pilot_eligible"
"TPL-409","17","SaaS e Startups de Software","SaaS Guia de Esclarecimento & FAQ","tpl-saas-duvidas-e-faq-interativo","Landing Educacional","Captação via Esclarecimento de Dúvidas Técnicas","Clientes que pesquisam objeções antes de contratar","Tirar Minha Dúvida com Especialista","hero -> faq -> benefits -> form -> footer","HeroBlock;FaqBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,faq_items,benefits_items,form_fields,copyright_text","Accordion limpo com boa legibilidade e tipografia contrastante","Secção de perguntas frequentes em destaque com busca visual","Resolve objeções complexas antecipadamente para converter tráfego qualificado.","pilot_eligible"
"TPL-410","17","SaaS e Startups de Software","SaaS Equipa & Corpo Clínico/Técnico","tpl-saas-equipa-e-corpo-tecnico","Website Institucional","Apresentação de Credenciais e Especialistas","Clientes que escolhem profissionais por currículo e autoridade","Marcar com Nossos Especialistas","hero -> team -> about -> services -> contact -> footer","HeroBlock;TeamBlock;AboutBlock;ServicesBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,team_members,story_text,services_cards,contact_info,copyright_text","Grelha elegante de perfis profissionais com bios detalhadas","Cartões de equipa com fotos profissionais e bios curtas","Foco no fator humano e nas credenciais individuais da equipa para passar segurança.","pilot_eligible"
"TPL-411","17","SaaS e Startups de Software","SaaS Unidades & Mapa Local","tpl-saas-localizacao-e-unidades","Landing Local","Atração de Clientes Locais por Proximidade Geográfica","Moradores/empresas da região geográfica de atendimento","Ver Rota e Agendar Visita","hero -> contact -> services -> testimonials -> footer","HeroBlock;ContactBlock;ServicesBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,google_maps_url,address,phone,services_cards,testimonials_list,copyright_text","Destaque visual para o mapa interativo e informações de endereço","Secção de contacto com mapa integrado e horários de funcionamento","Foco total em busca local e facilidade de localização geográfica.","pilot_eligible"
"TPL-412","17","SaaS e Startups de Software","SaaS Apresentação de Pacotes","tpl-saas-pacotes-e-condicoes","Landing de Vendas","Conversão para Pacotes Estruturados de Serviços","Clientes interessados em combos e condições especiais","Escolher Meu Pacote","hero -> services -> benefits -> form -> faq -> footer","HeroBlock;ServicesBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,form_fields,faq_items,copyright_text","Grelha de pacotes com marcadores visuais do mais popular","Grelha de serviços formatada como cartões de pacotes","Facilita a decisão de compra agrupando serviços em ofertas claras.","pilot_eligible"
"TPL-413","17","SaaS e Startups de Software","SaaS Nossa História & Propósito","tpl-saas-historia-e-proposito","Website Institucional","Conexão Emocional e Alinhamento de Valores","Clientes que valorizam a missão e reputação da empresa","Fazer Parte da Nossa História","hero -> about -> process -> team -> contact -> footer","HeroBlock;AboutBlock;ProcessBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,process_steps,team_members,contact_info,copyright_text","Narrativa em linha do tempo com fotografias institucionais","Secção About com bloco de estatísticas e imagens de bastidores","Constrói lealdade de longo prazo mostrando a trajetória e propósito do negócio.","pilot_eligible"
"TPL-414","17","SaaS e Startups de Software","SaaS Jornada do Cliente","tpl-saas-solucao-passo-a-passo","Landing Educacional","Desmistificar o Processo de Prestação do Serviço","Clientes receosos quanto à complexidade do serviço","Iniciar Minha Jornada","hero -> process -> services -> testimonials -> form -> footer","HeroBlock;ProcessBlock;ServicesBlock;TestimonialsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,services_cards,testimonials_list,form_fields,copyright_text","Fluxo numérico progressivo (Passo 1, 2, 3) bem marcado","Infográfico do processo de 4 passos com conectores visuais","Reduz a ansiedade do cliente mostrando exatamente o que acontece em cada fase.","pilot_eligible"
"TPL-415","17","SaaS e Startups de Software","SaaS Oferta de Boas-Vindas","tpl-saas-primeira-visita-especial","Landing Page Direta","Captação de Novos Clientes com Condição Especial","Público que nunca utilizou os serviços da empresa","Garantir Oferta de Boas-Vindas","hero -> benefits -> form -> testimonials -> footer","HeroBlock;BenefitsBlock;FormBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,benefits_items,form_fields,testimonials_list,copyright_text","Badge destacado de oferta exclusiva no Hero","Hero com selo de Boas-Vindas e formulário de inscrição direta","Incentiva a experiência inicial através de um incentivo exclusivo para novos clientes.","pilot_eligible"
"TPL-416","17","SaaS e Startups de Software","SaaS Sales Page VSL Longa","tpl-saas-vsl-video-sales-page","Sales Page Longa","Conversão via Vídeo de Vendas (VSL) e Pitch Estruturado","Leads de tráfego frio preparados por apresentação em vídeo","Garantir Vaga no Programa","hero_vsl -> benefits -> testimonials -> faq -> footer","BenefitsBlock;TestimonialsBlock;FaqBlock;FooterBlock","HeroVslBlock","headline,video_url,cta_primary_text,benefits_items,testimonials_list,faq_items,copyright_text","Container de vídeo centralizado com foco total na apresentação VSL","Player de vídeo VSL em topo escuro e botão CTA revelado abaixo","Focado em conversão audiovisual para infoprodutos e mentorias de alto valor.","blocked_by_node_registry"
"TPL-417","17","SaaS e Startups de Software","SaaS Planos & Tabela de Pricing","tpl-saas-tabela-de-precos-saas","Produto / Demo / Trial","Seleção de Planos Mensais/Anuais e Free Trial","Decisores de compra avaliando pacotes e limites de software","Assinar Plano Selecionado","hero -> pricing_table -> benefits -> faq -> footer","HeroBlock;BenefitsBlock;FaqBlock;FooterBlock","PricingTableBlock","headline,subheadline,pricing_plans,features_comparison,faq_items,copyright_text","Cartões de preços comparativos com alternador Mensal/Anual","Grelha de 3 planos de preços com destaque para o plano recomendado","Transparência total de preços e funcionalidades para SaaS e assinaturas.","blocked_by_node_registry"
"TPL-418","17","SaaS e Startups de Software","SaaS Mostra de Portfólio & Projetos","tpl-saas-galeria-portfolio-projetos","Website/Portfólio","Exibição Visual de Projetos Concluídos","Clientes de alto padrão avaliando qualidade estética e acabamento","Solicitar Projeto Semelhante","hero -> gallery_grid -> process -> contact -> footer","HeroBlock;ProcessBlock;ContactBlock;FooterBlock","GalleryGridBlock","headline,subheadline,gallery_images,project_categories,contact_info,copyright_text","Grelha masonry de alta resolução com lightbox interativo","Galeria visual de projetos com filtros por categoria","Demonstra a excelência técnica através do trabalho visualmente concluído.","blocked_by_node_registry"
"TPL-419","17","SaaS e Startups de Software","SaaS Calculadora Interativa de Cotação","tpl-saas-simulador-calculadora-cotacao","Landing de Cotação","Estimativa Interativa em Tempo Real pelo Cliente","Clientes que desejam calcular o investimento aproximado","Enviar Resultado da Simulação","hero -> interactive_calculator -> form -> faq -> footer","HeroBlock;FormBlock;FaqBlock;FooterBlock","CalculatorBlock","headline,subheadline,calculator_fields,form_fields,faq_items,copyright_text","Sliders e seletores interativos com valor total calculado em tempo real","Calculadora interativa com controles deslizantes e resultado estimado","Engaja o utilizador permitindo simular o valor exato da sua necessidade.","blocked_by_node_registry"
"TPL-420","17","SaaS e Startups de Software","SaaS Agendador com Calendário Ao Vivo","tpl-saas-calendario-agendamento-online","Landing de Marcações","Reserva Direta de Data e Horário em Agenda Integrada","Clientes que preferem selecionar o dia e hora no momento","Confirmar Data e Horário","hero -> booking_calendar -> testimonials -> footer","HeroBlock;TestimonialsBlock;FooterBlock","BookingCalendarBlock","headline,subheadline,available_slots,testimonials_list,copyright_text","Calendário interativo com escolha de horário em tempo real","Widget de calendário mensal com seleção de slots de horário","Elimina trocas de mensagens agendando a reunião/consulta diretamente.","blocked_by_node_registry"
"TPL-421","17","SaaS e Startups de Software","SaaS Comparativo de Soluções B2B","tpl-saas-tabela-comparativa-recursos","Produto / Demo / Trial","Demonstração de Superioridade em Relação a Alternativas","Compradores B2B comparando concorrentes e funcionalidades","Escolher a Solução Líder","hero -> comparison_table -> benefits -> form -> footer","HeroBlock;BenefitsBlock;FormBlock;FooterBlock","ComparisonTableBlock","headline,subheadline,comparison_matrix,benefits_items,form_fields,copyright_text","Tabela comparativa com marcas de verificação (checkmarks) e destaques","Tabela comparativa matricial com a empresa destacada na 1ª coluna","Prova a vantagem competitiva de forma transparente através de matriz de recursos.","blocked_by_node_registry"
"TPL-422","17","SaaS e Startups de Software","SaaS Catálogo Filtrável de Soluções","tpl-saas-catalogo-com-filtros-avancados","Website/Portfólio","Navegação por Granularidade de Nichos e Equipamentos","Clientes B2B buscando especificações técnicas detalhadas","Solicitar Ficha Técnica e Cotação","hero -> filtered_catalog -> contact -> footer","HeroBlock;ContactBlock;FooterBlock","FilteredCatalogBlock","headline,subheadline,catalog_items,filter_categories,contact_info,copyright_text","Filtros por categoria no topo e cartões com badges técnicos","Barra de filtros de produtos e grelha de resultados organizados","Facilita a busca em inventários extensos de serviços ou equipamentos.","blocked_by_node_registry"
"TPL-423","17","SaaS e Startups de Software","SaaS Experiência Virtual & Espaço","tpl-saas-tour-virtual-galeria-360","Captação e Reserva","Apresentação Imersiva de Ambientes e Instalações","Noivas, organizadores de eventos e clientes de imobiliário","Agendar Visita Presencial","hero -> virtual_tour -> testimonials -> form -> footer","HeroBlock;TestimonialsBlock;FormBlock;FooterBlock","VirtualTourBlock","headline,subheadline,embed_tour_url,testimonials_list,form_fields,copyright_text","Visualizador panorâmico imersivo com botões de navegação","Preview de tour virtual 360 com ícone de navegação interativa","Encanta o cliente mostrando o espaço físico em alta definição antes da visita.","blocked_by_node_registry"
"TPL-424","17","SaaS e Startups de Software","SaaS Linha do Tempo & Tradição","tpl-saas-linha-do-tempo-historica","Website Institucional","Demonstração de Tradição, Anos de Mercado e Milestones","Grandes contas corporativas buscando estabilidade e tradição","Falar com Nossa Gestão","hero -> timeline_history -> team -> contact -> footer","HeroBlock;TeamBlock;ContactBlock;FooterBlock","TimelineHistoryBlock","headline,subheadline,timeline_events,team_members,contact_info,copyright_text","Linha vertical cronológica com pontos de destaque históricos","Linha do tempo interativa marcando anos e conquistas da empresa","Transmite solidez e confiança comprovando anos de atuação no mercado.","blocked_by_node_registry"
"TPL-425","17","SaaS e Startups de Software","SaaS Cardápio Interativo & Menus","tpl-saas-menu-degustacao-cardapio","Captação e Reserva","Apresentação de Opções de Menus e Buffets para Eventos","Organizadores de eventos e noivos escolhendo gastronomia","Solicitar Degustação do Cardápio","hero -> interactive_menu -> testimonials -> form -> footer","HeroBlock;TestimonialsBlock;FormBlock;FooterBlock","InteractiveMenuBlock","headline,subheadline,menu_categories,testimonials_list,form_fields,copyright_text","Abas organizadas por pratos (Entradas, Principais, Sobremesas) com fotos","Cardápio em abas estilizadas com imagens de gastronomia","Estimula o desejo gastronómico apresentando os menus de forma elegante.","blocked_by_node_registry"
"TPL-426","18","Logística, Transportes e Fretes","Logística, Direct Ads Express","tpl-logistica-ads-captura-rapida","Landing Page Direta","Captura Imediata de Leads Google/Meta Ads","Pacientes/clientes urgentes em busca de atendimento direto","Solicitar Atendimento Imediato","hero -> form -> benefits -> testimonials -> footer","HeroBlock;FormBlock;BenefitsBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,form_fields,submit_button_text,benefits_list,testimonials_list,copyright_text","Clean responsivo com destaque para formulário de conversão direta","Renderização do formulário em topo claro e CTA com contraste","Foco exclusivo em conversão de fundo de funil com formulário acima da dobra e sem fuga.","pilot_eligible"
"TPL-427","18","Logística, Transportes e Fretes","Logística, Agendamento VIP","tpl-logistica-agendamento-consulta-vip","Landing de Marcações","Agendamento Direct de Primeira Consulta","Clientes qualificados procurando atendimento exclusivo","Agendar Consulta VIP","hero -> services -> process -> testimonials -> contact -> footer","HeroBlock;ServicesBlock;ProcessBlock;TestimonialsBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,badge_text,services_cards,process_steps,testimonials_list,contact_info,copyright_text","Tom premium com cartões espaçados e etapas do processo ilustradas","Hero com destaque de especialidades e botão de agendamento em destaque","Apresenta a jornada de atendimento passo a passo para gerar confiança no agendamento.","pilot_eligible"
"TPL-428","18","Logística, Transportes e Fretes","Logística, Institucional Autoridade","tpl-logistica-institucional-autoridade","Website Institucional","Construção de Autoridade de Marca e Apresentação de Equipa","Clientes corporativos e parceiros estratégicos","Conhecer Soluções da Empresa","hero -> about -> services -> team -> contact -> footer","HeroBlock;AboutBlock;ServicesBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,services_cards,team_members,contact_info,copyright_text","Design corporativo sóbrio com tipografia forte e fotos da equipa","Preview da secção de história e griha de membros da equipa","Posiciona o negócio como líder de mercado através da história e equipa médica/profissional.","pilot_eligible"
"TPL-429","18","Logística, Transportes e Fretes","Logística, Cotação Express","tpl-logistica-cotacao-progressiva-express","Landing de Cotação","Solicitação de Orçamento com Dados Iniciais","Compradores buscando estimativa rápida de investimento","Pedir Orçamento Gratuito","hero -> benefits -> form -> faq -> footer","HeroBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,benefits_items,form_fields,submit_button_text,faq_items,copyright_text","Foco em clareza de benefícios antes de expor os campos de orçamento","Captura destacando cartões de diferenciais e formulário de orçamento","Elimina objeções de preço respondendo perguntas frequentes antes do pedido de cotação.","pilot_eligible"
"TPL-430","18","Logística, Transportes e Fretes","Logística, Catálogo de Especialidades","tpl-logistica-procedimentos-especializados","Landing de Serviços","Apresentação Detalhada do Portfólio de Serviços","Público que procura soluções técnicas específicas","Consultar Especialista","hero -> services -> benefits -> process -> form -> footer","HeroBlock;ServicesBlock;BenefitsBlock;ProcessBlock;FormBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,process_steps,form_fields,copyright_text","Grelha modular de serviços com ícones e marcadores técnicos","Visão geral do catálogo de serviços em grelha 3 colunas","Organiza serviços complexos de forma modular e clara para facilidade de navegação.","pilot_eligible"
"TPL-431","18","Logística, Transportes e Fretes","Logística, Casos & Prova Social","tpl-logistica-prova-social-intensa","Landing Page Direta","Conversão Baseada em Depoimentos e Prova de Confiança","Clientes indecisos que necessitam de validação de terceiros","Ver Resultados e Agendar","hero -> testimonials -> benefits -> faq -> contact -> footer","HeroBlock;TestimonialsBlock;BenefitsBlock;FaqBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,testimonials_list,benefits_items,faq_items,contact_info,copyright_text","Estilo visual focado em cartões de avaliações com estrelas e avatares","Secção Hero integrada com avaliações 5 estrelas em destaque","Utiliza o gatilho da prova social em posição de destaque máximo para quebrar desconfiança.","pilot_eligible"
"TPL-432","18","Logística, Transportes e Fretes","Logística, Diagnóstico Gratuito","tpl-logistica-diagnostico-inicial-gratuito","Landing Page Direta","Captação de Leads via Oferta de Diagnóstico sem Custo","Clientes em fase de descoberta que procuram avaliação inicial","Solicitar Diagnóstico sem Custo","hero -> process -> benefits -> form -> footer","HeroBlock;ProcessBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,benefits_items,form_fields,copyright_text","Cores de alta energia e badges explicativos do diagnóstico","Hero com badge de Diagnóstico Gratuito e formulário em destaque","Reduz a barreira de entrada oferecendo uma avaliação sem compromisso financeiro.","pilot_eligible"
"TPL-433","18","Logística, Transportes e Fretes","Logística, Plantão & Atendimento Rápido","tpl-logistica-atendimento-urgencia-24h","Landing Page Direta","Conversão Urgente para Casos Imediatos","Público com necessidade urgente ou atendimento emergencial","Falar com Atendimento Rápido","hero -> contact -> services -> faq -> footer","HeroBlock;ContactBlock;ServicesBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,phone,email,address,services_cards,faq_items,copyright_text","Layout de alta visibilidade com botão telefónico/WhatsApp de destaque imediato","Hero com botões de contacto direto e mapa de localização rápida","Focado em resolução imediata com telefone e mapa acessíveis sem rolagem.","pilot_eligible"
"TPL-434","18","Logística, Transportes e Fretes","Logística, Guia de Esclarecimento & FAQ","tpl-logistica-duvidas-e-faq-interativo","Landing Educacional","Captação via Esclarecimento de Dúvidas Técnicas","Clientes que pesquisam objeções antes de contratar","Tirar Minha Dúvida com Especialista","hero -> faq -> benefits -> form -> footer","HeroBlock;FaqBlock;BenefitsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,faq_items,benefits_items,form_fields,copyright_text","Accordion limpo com boa legibilidade e tipografia contrastante","Secção de perguntas frequentes em destaque com busca visual","Resolve objeções complexas antecipadamente para converter tráfego qualificado.","pilot_eligible"
"TPL-435","18","Logística, Transportes e Fretes","Logística, Equipa & Corpo Clínico/Técnico","tpl-logistica-equipa-e-corpo-tecnico","Website Institucional","Apresentação de Credenciais e Especialistas","Clientes que escolhem profissionais por currículo e autoridade","Marcar com Nossos Especialistas","hero -> team -> about -> services -> contact -> footer","HeroBlock;TeamBlock;AboutBlock;ServicesBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,team_members,story_text,services_cards,contact_info,copyright_text","Grelha elegante de perfis profissionais com bios detalhadas","Cartões de equipa com fotos profissionais e bios curtas","Foco no fator humano e nas credenciais individuais da equipa para passar segurança.","pilot_eligible"
"TPL-436","18","Logística, Transportes e Fretes","Logística, Unidades & Mapa Local","tpl-logistica-localizacao-e-unidades","Landing Local","Atração de Clientes Locais por Proximidade Geográfica","Moradores/empresas da região geográfica de atendimento","Ver Rota e Agendar Visita","hero -> contact -> services -> testimonials -> footer","HeroBlock;ContactBlock;ServicesBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,google_maps_url,address,phone,services_cards,testimonials_list,copyright_text","Destaque visual para o mapa interativo e informações de endereço","Secção de contacto com mapa integrado e horários de funcionamento","Foco total em busca local e facilidade de localização geográfica.","pilot_eligible"
"TPL-437","18","Logística, Transportes e Fretes","Logística, Apresentação de Pacotes","tpl-logistica-pacotes-e-condicoes","Landing de Vendas","Conversão para Pacotes Estruturados de Serviços","Clientes interessados em combos e condições especiais","Escolher Meu Pacote","hero -> services -> benefits -> form -> faq -> footer","HeroBlock;ServicesBlock;BenefitsBlock;FormBlock;FaqBlock;FooterBlock","NONE","headline,subheadline,services_cards,benefits_items,form_fields,faq_items,copyright_text","Grelha de pacotes com marcadores visuais do mais popular","Grelha de serviços formatada como cartões de pacotes","Facilita a decisão de compra agrupando serviços em ofertas claras.","pilot_eligible"
"TPL-438","18","Logística, Transportes e Fretes","Logística, Nossa História & Propósito","tpl-logistica-historia-e-proposito","Website Institucional","Conexão Emocional e Alinhamento de Valores","Clientes que valorizam a missão e reputação da empresa","Fazer Parte da Nossa História","hero -> about -> process -> team -> contact -> footer","HeroBlock;AboutBlock;ProcessBlock;TeamBlock;ContactBlock;FooterBlock","NONE","headline,subheadline,story_text,stat_number,stat_label,process_steps,team_members,contact_info,copyright_text","Narrativa em linha do tempo com fotografias institucionais","Secção About com bloco de estatísticas e imagens de bastidores","Constrói lealdade de longo prazo mostrando a trajetória e propósito do negócio.","pilot_eligible"
"TPL-439","18","Logística, Transportes e Fretes","Logística, Jornada do Cliente","tpl-logistica-solucao-passo-a-passo","Landing Educacional","Desmistificar o Processo de Prestação do Serviço","Clientes receosos quanto à complexidade do serviço","Iniciar Minha Jornada","hero -> process -> services -> testimonials -> form -> footer","HeroBlock;ProcessBlock;ServicesBlock;TestimonialsBlock;FormBlock;FooterBlock","NONE","headline,subheadline,process_steps,services_cards,testimonials_list,form_fields,copyright_text","Fluxo numérico progressivo (Passo 1, 2, 3) bem marcado","Infográfico do processo de 4 passos com conectores visuais","Reduz a ansiedade do cliente mostrando exatamente o que acontece em cada fase.","pilot_eligible"
"TPL-440","18","Logística, Transportes e Fretes","Logística, Oferta de Boas-Vindas","tpl-logistica-primeira-visita-especial","Landing Page Direta","Captação de Novos Clientes com Condição Especial","Público que nunca utilizou os serviços da empresa","Garantir Oferta de Boas-Vindas","hero -> benefits -> form -> testimonials -> footer","HeroBlock;BenefitsBlock;FormBlock;TestimonialsBlock;FooterBlock","NONE","headline,subheadline,badge_text,benefits_items,form_fields,testimonials_list,copyright_text","Badge destacado de oferta exclusiva no Hero","Hero com selo de Boas-Vindas e formulário de inscrição direta","Incentiva a experiência inicial através de um incentivo exclusivo para novos clientes.","pilot_eligible"
"TPL-441","18","Logística, Transportes e Fretes","Logística, Sales Page VSL Longa","tpl-logistica-vsl-video-sales-page","Sales Page Longa","Conversão via Vídeo de Vendas (VSL) e Pitch Estruturado","Leads de tráfego frio preparados por apresentação em vídeo","Garantir Vaga no Programa","hero_vsl -> benefits -> testimonials -> faq -> footer","BenefitsBlock;TestimonialsBlock;FaqBlock;FooterBlock","HeroVslBlock","headline,video_url,cta_primary_text,benefits_items,testimonials_list,faq_items,copyright_text","Container de vídeo centralizado com foco total na apresentação VSL","Player de vídeo VSL em topo escuro e botão CTA revelado abaixo","Focado em conversão audiovisual para infoprodutos e mentorias de alto valor.","blocked_by_node_registry"
"TPL-442","18","Logística, Transportes e Fretes","Logística, Planos & Tabela de Pricing","tpl-logistica-tabela-de-precos-saas","Produto / Demo / Trial","Seleção de Planos Mensais/Anuais e Free Trial","Decisores de compra avaliando pacotes e limites de software","Assinar Plano Selecionado","hero -> pricing_table -> benefits -> faq -> footer","HeroBlock;BenefitsBlock;FaqBlock;FooterBlock","PricingTableBlock","headline,subheadline,pricing_plans,features_comparison,faq_items,copyright_text","Cartões de preços comparativos com alternador Mensal/Anual","Grelha de 3 planos de preços com destaque para o plano recomendado","Transparência total de preços e funcionalidades para SaaS e assinaturas.","blocked_by_node_registry"
"TPL-443","18","Logística, Transportes e Fretes","Logística, Mostra de Portfólio & Projetos","tpl-logistica-galeria-portfolio-projetos","Website/Portfólio","Exibição Visual de Projetos Concluídos","Clientes de alto padrão avaliando qualidade estética e acabamento","Solicitar Projeto Semelhante","hero -> gallery_grid -> process -> contact -> footer","HeroBlock;ProcessBlock;ContactBlock;FooterBlock","GalleryGridBlock","headline,subheadline,gallery_images,project_categories,contact_info,copyright_text","Grelha masonry de alta resolução com lightbox interativo","Galeria visual de projetos com filtros por categoria","Demonstra a excelência técnica através do trabalho visualmente concluído.","blocked_by_node_registry"
"TPL-444","18","Logística, Transportes e Fretes","Logística, Calculadora Interativa de Cotação","tpl-logistica-simulador-calculadora-cotacao","Landing de Cotação","Estimativa Interativa em Tempo Real pelo Cliente","Clientes que desejam calcular o investimento aproximado","Enviar Resultado da Simulação","hero -> interactive_calculator -> form -> faq -> footer","HeroBlock;FormBlock;FaqBlock;FooterBlock","CalculatorBlock","headline,subheadline,calculator_fields,form_fields,faq_items,copyright_text","Sliders e seletores interativos com valor total calculado em tempo real","Calculadora interativa com controles deslizantes e resultado estimado","Engaja o utilizador permitindo simular o valor exato da sua necessidade.","blocked_by_node_registry"
"TPL-445","18","Logística, Transportes e Fretes","Logística, Agendador com Calendário Ao Vivo","tpl-logistica-calendario-agendamento-online","Landing de Marcações","Reserva Direta de Data e Horário em Agenda Integrada","Clientes que preferem selecionar o dia e hora no momento","Confirmar Data e Horário","hero -> booking_calendar -> testimonials -> footer","HeroBlock;TestimonialsBlock;FooterBlock","BookingCalendarBlock","headline,subheadline,available_slots,testimonials_list,copyright_text","Calendário interativo com escolha de horário em tempo real","Widget de calendário mensal com seleção de slots de horário","Elimina trocas de mensagens agendando a reunião/consulta diretamente.","blocked_by_node_registry"
